City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dalandzadgad,43.5708,104.425,6.45,33,23,2.7,MN,1698440793
1,north shore,-36.8,174.75,13.04,62,100,2.24,NZ,1698440793
2,enewetak,11.3474,162.3373,28.43,74,47,5.16,MH,1698440793
3,puerto natales,-51.7236,-72.4875,4.6,73,18,8.39,CL,1698440499
4,kingston,17.997,-76.7936,28.53,82,40,7.2,JM,1698440080
5,port-aux-francais,-49.35,70.2167,3.14,81,49,7.89,TF,1698440794
6,ushuaia,-54.8,-68.3,5.81,87,75,5.66,AR,1698440794
7,hermanus,-34.4187,19.2345,14.74,69,96,5.14,ZA,1698440795
8,tingo maria,-9.2895,-76.0088,26.17,78,100,0.51,PE,1698440795
9,ebon,4.582,168.6964,28.58,68,92,3.94,MH,1698440795
10,broome,42.2506,-75.833,24.21,55,40,4.12,US,1698440796
11,waitangi,-43.9535,-176.5597,8.23,74,85,5.36,NZ,1698440796
12,albany,42.6001,-73.9662,23.66,58,91,1.0,US,1698440639
13,blackmans bay,-43.0167,147.3167,10.07,76,93,0.89,AU,1698440796
14,nuuk,64.1835,-51.7216,-1.66,86,75,2.57,GL,1698440796
15,longyearbyen,78.2186,15.6401,-3.09,80,75,1.03,SJ,1698440797
16,bikenibeu village,1.3673,173.1241,29.98,74,75,2.06,KI,1698440797
17,tazovsky,67.4667,78.7,-14.23,91,100,6.83,RU,1698440797
18,telsiai,55.9814,22.2472,0.04,92,100,3.63,LT,1698440797
19,bilibino,68.0546,166.4372,-20.79,97,30,1.54,RU,1698440798
20,nova sintra,14.8667,-24.7167,24.64,80,95,7.0,CV,1698440798
21,port mathurin,-19.6833,63.4167,24.56,76,93,3.81,MU,1698440798
22,inarajan village,13.2736,144.7484,28.54,97,47,2.71,GU,1698440798
23,ribeira grande,38.5167,-28.7,19.32,72,40,8.75,PT,1698440798
24,st. john's,47.5649,-52.7093,6.49,80,20,2.68,CA,1698440799
25,arkhangel'sk,64.5401,40.5433,-1.04,83,100,2.5,RU,1698440799
26,katsuren-haebaru,26.3369,127.8719,23.01,78,20,3.09,JP,1698440799
27,flying fish cove,-10.4217,105.6791,25.82,83,75,5.66,CX,1698440799
28,pobe,6.9801,2.6649,23.7,93,14,2.24,BJ,1698440799
29,port lincoln,-34.7333,135.8667,16.26,33,74,4.36,AU,1698440799
30,haiku-pauwela,20.9219,-156.3051,29.01,60,20,3.6,US,1698440800
31,edinburgh of the seven seas,-37.0676,-12.3116,13.84,93,100,16.33,SH,1698440800
32,hawaiian paradise park,19.5933,-154.9731,28.73,68,0,3.09,US,1698440800
33,isafjordur,66.0755,-23.124,2.57,87,72,2.07,IS,1698440800
34,puerto ayora,-0.7393,-90.3518,27.98,83,42,4.02,EC,1698440684
35,bredasdorp,-34.5322,20.0403,13.69,75,83,3.13,ZA,1698440801
36,ciudad madero,22.2667,-97.8333,29.11,74,40,4.12,MX,1698440801
37,ulaangom,49.9811,92.0667,-0.49,50,16,1.55,MN,1698440801
38,vorgashor,67.5833,63.95,-8.92,96,97,3.49,RU,1698440801
39,alofi,-19.0595,-169.9187,23.46,73,69,10.39,NU,1698440802
40,lorengau,-2.0226,147.2712,26.52,77,92,0.47,PG,1698440802
41,mana,5.6592,-53.7767,27.9,80,13,5.24,GF,1698440802
42,chelak,39.9203,66.8611,13.42,53,100,3.11,UZ,1698440802
43,college,64.8569,-147.8028,-2.28,84,40,0.0,US,1698440802
44,binjai,3.6001,98.4854,24.97,97,100,1.16,ID,1698440802
45,invercargill,-46.4,168.35,9.45,89,99,4.02,NZ,1698440803
46,georgetown,5.4112,100.3354,26.96,83,20,2.57,MY,1698440803
47,dharan,26.8125,87.2835,18.7,76,3,2.71,NP,1698440803
48,lihue,21.9789,-159.3672,27.77,66,0,3.09,US,1698440803
49,navia,43.5354,-6.7194,14.31,73,80,5.0,ES,1698440803
50,aykhal,66.0,111.5,-6.98,91,100,8.95,RU,1698440804
51,san patricio,28.017,-97.5169,32.05,60,73,6.65,US,1698440804
52,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,75,3.0,RU,1698440804
53,bhimunipatnam,17.8833,83.4333,24.45,81,50,2.44,IN,1698440804
54,tazacorte,28.629,-17.9293,22.54,89,20,0.51,ES,1698440804
55,joensuu,62.6012,29.7632,-1.73,70,100,2.68,FI,1698440805
56,gabu,12.2833,-14.2167,27.1,70,41,2.36,GW,1698440805
57,yorosso,12.3536,-4.7761,29.93,40,100,2.71,ML,1698440805
58,roma,43.2128,-75.4557,24.29,82,100,1.54,US,1698440805
59,kodiak,57.79,-152.4072,7.73,76,100,4.63,US,1698440805
60,minas de marcona,-15.2119,-75.1103,14.74,87,98,6.51,PE,1698440805
61,bethel,41.3712,-73.414,24.05,55,0,3.09,US,1698440793
62,staroyur'yevo,53.3161,40.7081,0.95,100,100,3.52,RU,1698440806
63,pimampiro,0.4,-77.9667,17.99,84,100,2.45,EC,1698440806
64,adamstown,-25.066,-130.1015,22.79,79,9,3.3,PN,1698440806
65,vernon,50.2581,-119.2691,7.01,33,6,1.54,CA,1698440515
66,pokhara,28.2333,83.9833,16.0,67,0,2.57,NP,1698440806
67,nadym,65.5333,72.5167,-9.59,92,99,7.18,RU,1698440807
68,rikaze,29.25,88.8833,1.68,47,2,1.56,CN,1698440807
69,qaqortoq,60.7167,-46.0333,0.56,58,100,1.63,GL,1698440807
70,namibe,-15.1961,12.1522,20.49,84,66,2.73,AO,1698440807
71,avarua,-21.2078,-159.775,24.03,60,72,4.63,CK,1698440807
72,badger,64.8,-147.5333,-2.33,88,75,0.0,US,1698440808
73,khandyga,62.6667,135.6,-16.85,100,94,1.2,RU,1698440551
74,tiksi,71.6872,128.8694,-16.82,99,97,2.58,RU,1698440808
75,thompson,55.7435,-97.8558,-0.36,60,100,2.98,CA,1698440808
76,argos orestiko,40.4667,21.2667,14.08,89,45,1.42,GR,1698440809
77,wewak,-3.5534,143.6268,25.77,77,100,1.75,PG,1698440809
78,stanley,54.868,-1.6985,9.74,95,75,3.6,GB,1698440809
79,hurghada,27.2574,33.8129,25.79,58,86,2.41,EG,1698440809
80,igarka,67.4667,86.5833,-10.7,89,100,5.64,RU,1698440809
81,grytviken,-54.2811,-36.5092,-1.26,84,12,4.53,GS,1698440809
82,vilyuchinsk,52.9306,158.4028,3.85,75,91,0.89,RU,1698440810
83,kabinda,-6.1333,24.4833,19.6,90,64,1.3,CD,1698440810
84,garango,11.8,-0.5506,31.82,30,91,1.52,BF,1698440810
85,the pas,53.8251,-101.2541,0.01,55,100,7.72,CA,1698440810
86,udachny,66.4167,112.4,-9.8,97,98,3.05,RU,1698440810
87,weno,7.4515,151.8468,27.97,83,100,5.14,FM,1698440811
88,gaspe,48.8334,-64.4819,9.12,100,100,6.17,CA,1698440811
89,hauterive,46.0901,3.4459,13.42,84,23,3.97,FR,1698440811
90,acarau,-2.8856,-40.12,27.55,69,2,7.97,BR,1698440811
91,west island,-12.1568,96.8225,25.99,78,100,8.75,CC,1698440811
92,esbjerg,55.4667,8.45,7.67,88,75,4.63,DK,1698440812
93,uturoa,-16.7333,-151.4333,24.1,80,100,4.69,PF,1698440812
94,ziro,27.6333,93.8333,7.22,92,16,0.9,IN,1698440812
95,punta arenas,-53.15,-70.9167,4.15,69,66,12.53,CL,1698440813
96,utrik,11.2278,169.8474,28.05,74,11,5.07,MH,1698440813
97,praia da vitoria,38.7333,-27.0667,18.75,80,80,6.4,PT,1698440813
98,kailua-kona,19.6406,-155.9956,30.33,71,20,4.63,US,1698440814
99,itamaraca,-7.7478,-34.8256,28.03,81,20,4.79,BR,1698440814
100,whitehorse,60.7161,-135.0538,1.05,54,42,0.13,CA,1698440814
101,wailua homesteads,22.0669,-159.378,27.44,66,0,3.09,US,1698440814
102,lebu,-37.6167,-73.65,12.06,89,100,8.22,CL,1698440815
103,yamada,39.4667,141.95,12.22,80,100,2.12,JP,1698440741
104,talnakh,69.4865,88.3972,-16.0,86,100,1.34,RU,1698440815
105,monze,-16.2833,27.4833,23.49,40,2,1.58,ZM,1698440815
106,abalak,58.1286,68.5944,-3.69,66,82,3.19,RU,1698440816
107,veraval,20.9,70.3667,26.77,68,17,3.42,IN,1698440816
108,el bauga,18.262,33.9081,30.54,19,10,4.13,SD,1698440816
109,sinop,41.7711,34.8709,18.81,42,100,4.42,TR,1698440816
110,dudinka,69.4058,86.1778,-12.96,99,100,1.34,RU,1698440817
111,carbonear,47.7332,-53.2148,6.75,78,43,3.6,CA,1698440817
112,fortaleza,-3.7227,-38.5247,27.9,83,20,4.63,BR,1698440704
113,dryden,49.7833,-92.7503,-0.46,91,100,3.78,CA,1698440817
114,saint-pierre,-21.3393,55.4781,24.2,78,0,2.57,RE,1698440817
115,kirensk,57.7853,108.1119,2.76,75,100,4.92,RU,1698440818
116,arno,60.1167,18.6333,3.21,79,99,4.91,SE,1698440818
117,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,5.14,EC,1698440593
118,papatowai,-46.5619,169.4708,7.87,84,100,6.55,NZ,1698440818
119,codrington,-38.2667,141.9667,13.75,34,100,6.3,AU,1698440818
120,finale ligure,44.1695,8.3436,18.79,87,9,1.34,IT,1698440819
121,malakal,9.5334,31.6605,22.77,76,42,1.06,SS,1698440819
122,campbellton,48.0075,-66.6727,8.47,99,100,2.37,CA,1698440819
123,asau,46.4333,26.4,18.51,77,68,9.34,RO,1698440819
124,corowa,-36.0333,146.3833,8.1,90,87,4.87,AU,1698440819
125,borogontsy,62.6683,131.1683,-12.01,94,88,3.17,RU,1698440820
126,diu,20.7141,70.9822,25.63,52,25,3.23,IN,1698440820
127,ma'rib,15.4591,45.3253,26.18,42,100,4.7,YE,1698440820
128,port elizabeth,-33.918,25.5701,16.16,95,100,3.6,ZA,1698440820
129,new norfolk,-42.7826,147.0587,10.72,74,98,1.78,AU,1698440820
130,tomatlan,19.9333,-105.25,29.78,64,57,3.0,MX,1698440820
131,byalynichy,53.9983,29.7126,5.28,100,100,2.89,BY,1698440821
132,ocean shores,46.9737,-124.1563,12.47,53,0,3.09,US,1698440821
133,darnah,32.767,22.6367,22.42,84,9,3.03,LY,1698440821
134,vila franca do campo,37.7167,-25.4333,18.82,99,100,6.57,PT,1698440821
135,corund,46.4667,25.1833,13.18,90,100,8.34,RO,1698440821
136,ijmuiden,52.4573,4.6111,11.06,97,20,3.6,NL,1698440822
137,enshi,30.3,109.4833,13.45,96,92,0.63,CN,1698440822
138,jamestown,42.097,-79.2353,21.92,68,40,4.12,US,1698440822
139,ola,59.5833,151.2833,-2.0,70,100,3.76,RU,1698440822
140,selfoss,63.9331,-20.9971,5.02,75,90,3.37,IS,1698440823
141,weyburn,49.6668,-103.8511,-4.13,88,100,4.88,CA,1698440823
142,nagram,26.6167,81.1333,18.03,37,35,0.55,IN,1698440823
143,northam,51.0333,-4.2167,12.03,94,100,5.89,GB,1698440823
144,novodvinsk,64.4165,40.8122,-1.23,83,100,2.37,RU,1698440823
145,dakhla,23.6848,-15.958,21.09,85,0,7.57,EH,1698440824
146,crane,31.3974,-102.3501,24.8,66,70,4.56,US,1698440824
147,suva,-18.1416,178.4415,26.71,74,75,4.63,FJ,1698440626
148,caleta de carquin,-11.0925,-77.6267,21.04,76,71,5.38,PE,1698440824
149,banyo,6.75,11.8167,19.17,91,33,0.98,CM,1698440824
150,pisco,-13.7,-76.2167,21.03,73,100,7.2,PE,1698440825
151,jarinu,-23.1014,-46.7283,21.21,89,100,2.15,BR,1698440789
152,gua musang,4.8823,101.9644,22.7,98,97,0.57,MY,1698440825
153,happy valley-goose bay,53.3168,-60.3315,1.06,50,62,0.31,CA,1698440825
154,east london,-33.0153,27.9116,18.57,85,100,2.29,ZA,1698440825
155,tartagal,-22.5164,-63.8013,24.22,66,96,0.78,AR,1698440826
156,colonia,50.9333,6.95,11.05,91,0,4.12,DE,1698440826
157,afaahiti,-17.75,-149.2833,22.93,90,100,6.46,PF,1698440826
158,yellowknife,62.456,-114.3525,-4.21,91,100,2.68,CA,1698440826
159,lompoc,34.6391,-120.4579,25.01,60,20,9.39,US,1698440580
160,kharp,66.8014,65.8081,-10.68,89,100,3.5,RU,1698440827
161,kaeng khoi,14.5862,100.9976,26.89,96,100,1.54,TH,1698440827
162,hamilton,39.1834,-84.5333,24.77,76,100,7.2,US,1698440649
163,mammoth lakes,37.6485,-118.9721,12.4,14,0,3.09,US,1698440827
164,murghob,38.1702,73.9667,-1.32,57,23,1.6,TJ,1698440828
165,brisas de zicatela,15.8369,-97.0419,30.29,48,75,4.12,MX,1698440828
166,bintulu,3.1667,113.0333,24.57,93,35,1.56,MY,1698440828
167,mount isa,-20.7333,139.5,14.87,21,86,0.0,AU,1698440818
168,siniscola,40.5719,9.6922,19.75,72,100,3.43,IT,1698440828
169,chokwe,-24.5333,32.9833,25.7,46,5,4.25,MZ,1698440829
170,east ballina,-28.8667,153.5833,14.89,54,60,7.16,AU,1698440829
171,olyokminsk,60.3736,120.4264,0.53,88,100,1.6,RU,1698440829
172,aasiaat,68.7098,-52.8699,-7.61,88,100,3.02,GL,1698440829
173,tolanaro,-25.0319,46.9987,21.55,80,89,5.84,MG,1698440829
174,antofagasta,-23.65,-70.4,18.6,76,38,3.03,CL,1698440764
175,san antonio de pale,-1.4014,5.6325,26.11,83,40,4.62,GQ,1698440830
176,balboa,2.0396,-77.2168,20.0,83,83,2.48,CO,1698440830
177,reggane,26.7158,0.1714,30.09,18,0,2.23,DZ,1698440830
178,pundong,-7.9522,110.3486,23.5,90,37,0.86,ID,1698440831
179,gizo,-8.103,156.8419,27.69,76,64,1.1,SB,1698440831
180,anchorage,61.2181,-149.9003,4.82,78,0,2.06,US,1698440793
181,karacabey,40.2152,28.4038,21.04,64,98,3.9,TR,1698440831
182,dolores,-36.3132,-57.6792,23.45,47,62,3.01,AR,1698440832
183,ust-nera,64.5667,143.2,-13.91,98,100,1.24,RU,1698440748
184,mugia,43.1041,-9.2179,16.2,83,100,11.92,ES,1698440832
185,divo,5.8397,-5.36,22.83,99,15,1.15,CI,1698440832
186,gamba,-2.65,10.0,25.01,88,100,2.3,GA,1698440832
187,punta del este,-34.9667,-54.95,24.06,74,0,5.36,UY,1698440833
188,baiquan,47.5833,126.0833,1.13,42,3,1.05,CN,1698440833
189,anadyr,64.75,177.4833,0.28,93,75,5.0,RU,1698440833
190,ratnagiri,16.9833,73.3,24.42,55,17,2.76,IN,1698440833
191,portland,45.5234,-122.6762,13.13,67,20,2.06,US,1698440136
192,thunder bay,48.4001,-89.3168,5.99,70,75,6.69,CA,1698440768
193,penafiel,41.2084,-8.2829,14.46,93,100,0.45,PT,1698440834
194,springbok,-29.6643,17.8865,11.14,89,33,3.46,ZA,1698440544
195,tympaki,35.0729,24.7685,19.98,87,44,0.45,GR,1698440834
196,kamiiso,41.8167,140.65,10.12,92,85,2.03,JP,1698440835
197,tha khanon,9.0302,98.9529,27.23,96,59,0.82,TH,1698440835
198,novopskov,49.5464,39.0899,12.0,91,100,1.82,UA,1698440835
199,yeppoon,-23.1333,150.7333,18.88,66,30,6.94,AU,1698440835
200,kone,-21.0595,164.8658,25.87,68,100,2.57,NC,1698440835
201,grand falls-windsor,48.9332,-55.6649,6.95,78,86,2.74,CA,1698440836
202,iqaluit,63.7506,-68.5145,-6.93,75,45,1.38,CA,1698440836
203,olonkinbyen,70.9221,-8.7187,-1.31,66,11,0.7,SJ,1698440837
204,alamos,27.0167,-108.9333,29.93,30,0,1.94,MX,1698440837
205,princeville,45.7668,-61.2985,12.73,96,100,5.14,CA,1698440837
206,zaqatala,41.6336,46.6433,15.26,59,20,3.09,AZ,1698440838
207,kavaratti,10.5669,72.642,28.47,68,17,2.36,IN,1698440838
208,saint-philippe,-21.3585,55.7679,23.77,84,88,0.9,RE,1698440838
209,jaru,-10.4389,-62.4664,33.0,45,96,4.43,BR,1698440707
210,kingsville,27.5159,-97.8561,34.1,68,40,6.69,US,1698440839
211,stara tura,48.7772,17.6943,11.01,86,50,3.09,SK,1698440839
212,labrador city,52.9463,-66.9114,-1.05,93,100,2.57,CA,1698440839
213,kristiansund,63.1115,7.732,0.36,69,0,3.09,NO,1698440839
214,chita,52.0333,113.55,-4.06,68,16,1.0,RU,1698440840
215,westport,41.1415,-73.3579,24.75,65,0,3.6,US,1698440840
216,batang,-6.4846,110.7083,25.99,74,28,2.49,ID,1698440840
217,kloulklubed,7.0419,134.2556,26.28,74,96,1.7,PW,1698440840
218,neftegorsk,52.802,51.166,-0.9,94,100,5.22,RU,1698440841
219,las lomitas,-24.7096,-60.593,24.52,84,99,2.85,AR,1698440841
220,basotu,-4.3667,35.0833,19.47,62,100,4.07,TZ,1698440841
221,new castle,41.0037,-80.347,21.49,88,100,4.12,US,1698440841
222,nur-sultan,51.1801,71.446,-9.03,86,0,1.0,KZ,1698440841
223,okhotsk,59.3833,143.3,-1.22,98,100,4.84,RU,1698440842
224,cabras,39.93,8.5314,20.4,72,100,6.13,IT,1698440842
225,whakatane,-37.9585,176.9854,15.49,64,100,2.68,NZ,1698440842
226,kudahuvadhoo,2.6708,72.8944,27.52,79,85,5.0,MV,1698440842
227,la'ie,21.6477,-157.9253,30.98,74,1,0.89,US,1698440843
228,puerto santa,-8.9906,-78.6456,20.39,81,83,5.12,PE,1698440843
229,hirara,24.8,125.2833,25.2,58,18,7.15,JP,1698440843
230,port alfred,-33.5906,26.891,15.66,97,100,0.45,ZA,1698440843
231,yuzhno-kurilsk,44.0306,145.8556,11.32,87,100,3.43,RU,1698440844
232,keflavik,64.0049,-22.5624,5.24,81,0,5.66,IS,1698440844
233,val-d'or,48.1002,-77.7828,13.05,100,100,3.09,CA,1698440844
234,ilulissat,69.2167,-51.1,-8.94,82,100,2.16,GL,1698440844
235,owen sound,44.5672,-80.9435,19.62,89,84,5.36,CA,1698440844
236,opuwo,-18.0607,13.84,23.25,34,15,2.27,NA,1698440844
237,batticaloa,7.7102,81.6924,25.84,82,45,1.68,LK,1698440845
238,saipan,15.1355,145.701,27.39,94,20,2.06,MP,1698440845
239,tyukhtet,56.5389,89.3011,-4.15,71,100,6.81,RU,1698440845
240,miles city,46.4083,-105.8406,-8.46,79,75,3.6,US,1698440688
241,taoudenni,22.6783,-3.9836,32.69,15,0,4.48,ML,1698440845
242,qurayyat,31.3318,37.3428,23.1,43,20,0.0,SA,1698440846
243,salacgriva,57.7536,24.3581,-0.06,93,86,4.21,LV,1698440846
244,derzhavinsk,51.1,66.3167,-0.15,52,100,4.49,KZ,1698440846
245,vigan,17.5747,120.3869,25.28,85,23,2.23,PH,1698440846
246,nea ionia,38.0373,23.7595,22.93,72,20,2.68,GR,1698440847
247,fort bragg,35.139,-79.006,27.68,53,20,4.12,US,1698440847
248,ad douiem,14.0012,32.3116,32.58,37,99,2.78,SD,1698440847
249,alice springs,-23.7,133.8833,4.75,22,30,0.0,AU,1698440847
250,ketchikan,55.3422,-131.6461,8.26,46,0,4.63,US,1698440847
251,margaret river,-33.95,115.0667,7.16,85,8,2.78,AU,1698440848
252,wellington,-41.2866,174.7756,12.26,71,40,2.57,NZ,1698440709
253,howrah,22.5892,88.3103,25.0,83,20,1.54,IN,1698440848
254,rossosh',51.1209,38.5116,8.93,94,100,2.44,RU,1698440848
255,chongwe,-15.3292,28.682,22.75,51,0,1.95,ZM,1698440849
256,swakopmund,-22.6833,14.5333,14.41,87,26,4.05,NA,1698440849
257,hun,29.1268,15.9477,23.38,27,0,0.68,LY,1698440849
258,barra do garcas,-15.89,-52.2567,32.94,43,78,2.58,BR,1698440849
259,bijie,27.3125,105.2942,10.26,88,100,0.6,CN,1698440849
260,rosso,16.4986,-15.8153,31.8,29,8,8.24,SN,1698440850
261,hotan,37.0997,79.9269,12.79,25,67,1.43,CN,1698440850
262,orangeburg,33.4918,-80.8557,28.05,57,100,0.89,US,1698440850
263,ostersund,63.1792,14.6357,-0.77,69,100,1.03,SE,1698440850
264,playa del ingles,27.7567,-15.5787,23.0,81,81,2.93,ES,1698440850
265,nemuro,43.3236,145.575,11.21,79,91,2.56,JP,1698440851
266,palmer,42.1584,-72.3287,24.75,49,40,4.12,US,1698440851
267,baissa,7.2333,10.6333,22.95,93,45,0.77,NG,1698440851
268,pangai,-19.8,-174.35,23.65,72,2,8.99,TO,1698440851
269,atafu village,-8.5421,-172.5159,28.55,77,54,3.29,TK,1698440851
270,viisoara,46.55,23.9167,15.64,74,95,3.61,RO,1698440852
271,sao joao da barra,-21.6403,-41.0511,24.05,91,100,5.46,BR,1698440703
272,tequila,20.8833,-103.8333,29.25,47,56,1.29,MX,1698440852
273,santiago de cao,-7.9589,-79.2392,20.07,83,40,5.66,PE,1698440852
274,klyuchi,52.2667,79.1667,-1.85,53,6,2.92,RU,1698440846
275,brookhaven,31.5791,-90.4407,29.81,46,83,1.1,US,1698440578
276,tadine,-21.55,167.8833,23.54,91,99,5.7,NC,1698440853
277,chissamba,-12.1667,17.3333,18.82,74,48,1.68,AO,1698440853
278,north bay,46.3168,-79.4663,17.19,99,100,5.24,CA,1698440853
279,gaiman,-43.2897,-65.4929,23.68,19,67,17.17,AR,1698440853
280,marshall,34.3834,-86.3333,27.4,57,75,0.89,US,1698440854
281,shimoda,34.6667,138.95,12.84,69,90,4.57,JP,1698440854
282,mahina,-17.5065,-149.489,23.87,88,75,2.06,PF,1698440854
283,mandan,46.8267,-100.8896,-5.91,77,0,8.23,US,1698440765
284,bayanhongor,46.7167,100.1167,-0.94,39,5,0.51,MN,1698440854
285,cova figueira,14.8905,-24.2934,25.16,72,93,5.36,CV,1698440855
286,carnarvon,-24.8667,113.6333,20.16,65,40,10.46,AU,1698440855
287,fort st. john,56.2499,-120.8529,-5.06,74,40,2.57,CA,1698440770
288,newman,37.3138,-121.0208,21.24,35,83,0.89,US,1698440855
289,hadyach,50.3711,33.991,12.73,77,100,5.02,UA,1698440855
290,konstantinovskoye,45.2992,42.6367,15.32,74,93,2.16,RU,1698440855
291,ancud,-41.8697,-73.8203,11.11,78,65,7.72,CL,1698440856
292,alesund,62.4723,6.1549,3.2,78,0,5.66,NO,1698440856
293,itoman,26.1247,127.6694,23.01,67,75,4.63,JP,1698440856
294,constantia,44.1833,28.65,19.38,64,100,6.83,RO,1698440856
295,kruisfontein,-34.0033,24.7314,14.4,89,100,5.38,ZA,1698440856
296,saldanha,-33.0117,17.9442,14.64,77,0,9.82,ZA,1698440857
297,chuguyevka,44.1653,133.8633,-0.92,69,61,0.48,RU,1698440857
298,noumea,-22.2763,166.4572,25.0,99,99,4.8,NC,1698440829
299,kot diji,27.3427,68.7083,24.01,21,93,1.29,PK,1698440857
